id,NHS_number,gender,first_event,second_event,third_event,fourth_event,fifth_event,sixth_event,seventh_event
1,6265206737,F,Business Development,Computers,,Movies,,,
2,8578184327,F,Research and Development,Garden,Services,,Kids,Engineering,
3,3848606682,M,Accounting,Health,Product Management,,Music,Legal,Books
4,4192249553,M,Accounting,,Sales,Health,,,
5,7055497604,F,Human Resources,Industrial,,Kids,,,
6,6513553008,M,Marketing,Clothing,Marketing,Grocery,Clothing,Research and Development,
7,0735701458,F,Training,Grocery,Marketing,Movies,Computers,Human Resources,Kids
8,2034805321,M,Product Management,Clothing,Sales,,,,
9,7163880251,M,Services,Automotive,Services,Books,,,Industrial
10,8863589593,M,Support,Sports,Human Resources,,,,Books
11,0757023789,M,Services,Industrial,Business Development,,,,Toys
12,1286521076,M,Training,Clothing,Legal,Garden,,,Movies
13,0228649714,M,Support,Books,Sales,Health,,,
14,9088578745,F,Accounting,Sports,Training,Clothing,Toys,Human Resources,Books
15,5411941261,M,Sales,Outdoors,Research and Development,Sports,,,
16,6827708306,F,Accounting,Shoes,Training,Toys,Industrial,Research and Development,
17,9994350935,M,Support,Baby,Engineering,Kids,,,
18,1643988042,M,Research and Development,Tools,Product Management,Outdoors,Games,Engineering,
19,5888450065,M,Business Development,Movies,Accounting,,,,Automotive
20,6984126975,M,Services,Baby,Marketing,Automotive,Health,Sales,
21,3978213966,M,Product Management,Computers,Business Development,,,,Sports
22,2515634117,F,Services,Toys,Accounting,Sports,Outdoors,Sales,
23,2913269087,F,Product Management,Kids,,Automotive,Sports,Human Resources,
24,6748711894,F,Marketing,Music,Marketing,Sports,Tools,Research and Development,Baby
25,5913329767,M,Human Resources,,Human Resources,Baby,,,
26,8613460755,M,Accounting,,,Tools,,,Kids
27,9578411642,M,Engineering,Outdoors,Services,Grocery,,,Automotive
28,2138349527,M,Training,Tools,,Music,Beauty,Product Management,Home
29,1923126938,M,Accounting,Automotive,Support,,,,
30,9091713097,M,Human Resources,Garden,Sales,Kids,Home,Marketing,
31,7881692162,M,Legal,Outdoors,,Toys,,,Clothing
32,9034692809,F,Training,Industrial,,,Home,Product Management,Jewelery
33,7666622074,M,Engineering,Electronics,Human Resources,Health,Grocery,Research and Development,
34,8101701451,M,Services,Home,Product Management,Grocery,Movies,Training,Health
35,1153384906,M,Research and Development,Health,Research and Development,Baby,Music,Engineering,Health
36,4986709488,F,Services,Books,,,,,
37,0374638934,M,Accounting,Automotive,Services,Home,Health,Accounting,
38,5368590156,M,Accounting,Outdoors,Engineering,Games,,,Kids
39,7586453780,M,Marketing,Electronics,,Automotive,,,
40,7216023668,F,Research and Development,Sports,Business Development,,,,Beauty
41,2205942158,M,Marketing,Home,Services,Sports,Games,Engineering,
42,6268934059,M,Business Development,,Training,,Garden,Research and Development,
43,0004618483,F,Support,Books,Accounting,Tools,Industrial,Product Management,
44,3737475407,M,Engineering,Garden,Sales,Toys,Electronics,Engineering,Electronics
45,8322135610,F,Business Development,,Legal,,Kids,Accounting,
46,3341830030,F,Engineering,Toys,,Home,,,Grocery
47,9924261704,F,Human Resources,Beauty,Training,Movies,Tools,Business Development,Garden
48,6855278418,M,Training,Books,Research and Development,,,,Movies
49,4402339081,M,Legal,,,Clothing,,,Sports
50,9915526202,M,Accounting,Outdoors,Business Development,,,,Automotive
51,7120007939,F,Support,Computers,Sales,Outdoors,Beauty,Marketing,Music
52,2899460595,M,Training,Games,Support,Beauty,Industrial,Business Development,Books
53,6695892768,F,Business Development,Electronics,Research and Development,Jewelery,Beauty,Sales,
54,3004054795,F,Accounting,Home,Accounting,Movies,Sports,Training,Industrial
